BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"KAPOL COOPERATIVE BANK LIMITED",KCBL00BRN01,400076001,"ADMINISTRATIVE OFFICE","127, SAMRUDHHI BUILDING, 1ST FLOOR, VALLABHBHAI ROAD, VILE PARLE WEST , MUMBAI - 400 056",26125906,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000102,395076002,SURAT,"U1-U2, METRO TOWER, RING ROAD, SURAT - 395 003",2346777,SURAT,SURAT,GUJARAT
"KAPOL COOPERATIVE BANK LIMITED",KCBL00000SC,NA,"ADMINISTRATIVE OFFICE","1402/1403, DALAMAL TOWER, 211, FREE PRESS ROAD, NARIMAN POINT, MUMBAI 400021",0,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000015,400076015,"ANDHERI (EAST)","SYNDICATE CHAMBER, 1ST FLOOR, 21, SAHAR ROAD, ANDHERI (E) - MUMBAI - 400 069",26833520,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000014,400076014,"VASHI (TURBE)","K-32, SECTOR -19, APMC MASALA MARKET, TURBE, NAVI MUMBAI - 400 019",27895901,MUMBAI,"NAVI MUMBAI",MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000013,400076013,FORT,"VITHALDAS CHAMBER, GROUND FLOOR, 8, HOMI MODY STREET, FORT, MUMBAI - 400 001",22046204,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000012,400076012,"MULUND (WEST)","SHOP NO. 3,4,5, JAY COMMERCIAL PLAZA, S.L.ROAD, MULUND  (W)- MUMBAI - 400 086",25923640,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000011,400076011,"VILE PARLE (EAST)","107/108, SHYAM KAMAL BLDG. NEAR B.N.AGRAWAL MARKET, VILE PARLE(E)-MUMBAI- 400 069",26630181,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000010,400076010,"BHAYANDER (EAST)","GODDEO NAKA, TULSI PRASAD CHAMBER, 1ST FLOOR, OPP: SHIV SENA OFF. BHAYANDER (E), THANE - 401105",28046462,MUMBAI,THANE,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000009,400076009,"KANDIVALI (WEST)","ROYAL HOUSE, 1ST FLOOR, MATHURADAS ROAD, KANDIVALI (W), MUMBAI - 400 067",28014468,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000008,400076008,"NALASOPARA (EAST)","MEHTA CHAMBERS, ARCHOLE RD, NALASOPARA (E)- THANE",2434132,MUMBAI,THANE,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000007,400076007,"BORIVALI (WEST)","BHANDARKAR BHAVAN, S.V.ROAD, BORIVALI (W), MUMBAI - 400 092",28905891,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000006,400076006,KALBADEVI,"19/21, PICKET X ROAD, KAPOL BANK BLDG. KALBADEVI, MUMBAI - 400 002",22082653,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000005,400076005,"GHATKOPAR (EAST)","LADKORBAI KAPOL WADI, GHATKOPAR (W), MUMBAI - 4000 86",25132193,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000004,400076004,"MALAD (WEST)","KAPOL WADI, MARVE ROAD, MALAD (W), MUMBAI - 400 064",28010899,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000003,400076003,"VILE PARLE (WEST)","SAMRUDHHI BUILDING, GROUND FLOOR, PLOT NO 127, VALLABHBHAI ROAD, VILE PARLE (W) MUMBAI - 400 056",26125906,MUMBAI,MUMBAI,MAHARASHTRA
"KAPOL COOPERATIVE BANK LIMITED",KCBL0000002,400076002,"LOKHAND JATHA","STEEL CENTRE, SANT TUKARAM ROAD, MASJID BANDAR, MUMBAI - 400 009",23485695,MUMBAI,MUMBAI,MAHARASHTRA
